Ethnicity	Admission Decision
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Wait-listed
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
White	Turned Away
